_id,X,Y,amenageur,operateur,enseigne,idstation,station,adstation,codeinsee,Xlongitude,Ylatitude,nbrepdc,idpdc,puissmax,typeprise,accesrecharge,accessibilité,observations,date_maj
5f5a24a51518ee3e34254c7f,2.605599,49.0055348996909,Aéroports de Paris SA,Sodetrel,Paris Aéroports,FR*SOD*P*GADP*5*_*_*_,false,false,77294,2.605599,49.005534899691,2,false,false,"type2,typee",Gratuit,24/7,node/7303929542,2020-03-16T23:00:00.000Z
5f5a24a51518ee3e34254c80,2.605668,49.005528799691,Aéroports de Paris SA,Sodetrel,Paris Aéroports,FR*SOD*P*GADP*5*_*_*_,false,false,77294,2.605668,49.005528799691,2,false,false,"type2,typee",Gratuit,24/7,node/7303929541,2020-03-16T23:00:00.000Z
5f5a24a51518ee3e34254c81,2.6057369,49.005522799691,Aéroports de Paris SA,Sodetrel,Paris Aéroports,FR*SOD*P*GADP*5*_*_*_,false,false,77294,2.6057369,49.005522799691,2,false,false,"type2,typee",Gratuit,24/7,node/7303929540,2020-03-16T23:00:00.000Z
5f5a24a51518ee3e34254c82,2.6058059,49.005516699691,Aéroports de Paris SA,Sodetrel,Paris Aéroports,FR*SOD*P*GADP*5*_*_*_,false,false,77294,2.6058059,49.005516699691,2,false,false,"type2,typee",Gratuit,24/7,node/7303929539,2020-03-16T23:00:00.000Z
5f5a24a51518ee3e34254c83,2.6058749,49.005510699691,Aéroports de Paris SA,Sodetrel,Paris Aéroports,FR*SOD*P*GADP*5*_*_*_,false,false,77294,2.6058749,49.005510699691,2,false,false,"type2,typee",Gratuit,24/7,node/7303929538,2020-03-16T23:00:00.000Z
5f5a24a51518ee3e34254c84,2.6059438,49.005504599691,Aéroports de Paris SA,Sodetrel,Paris Aéroports,FR*SOD*P*GADP*5*_*_*_,false,false,77294,2.6059438,49.005504599691,2,false,false,"type2,typee",Gratuit,24/7,node/7303929537,2020-03-16T23:00:00.000Z
5f5a24a51518ee3e34254c85,2.6060128,49.005498599691,Aéroports de Paris SA,Sodetrel,Paris Aéroports,FR*SOD*P*GADP*5*_*_*_,false,false,77294,2.6060128,49.005498599691,2,false,false,"type2,typee",Gratuit,24/7,node/7303929536,2020-03-16T23:00:00.000Z
5f5a24a51518ee3e34254c86,2.6060818,49.005492499691,Aéroports de Paris SA,Sodetrel,Paris Aéroports,FR*SOD*P*GADP*5*_*_*_,false,false,77294,2.6060818,49.005492499691,2,false,false,"type2,typee",Gratuit,24/7,node/7303929535,2020-03-16T23:00:00.000Z
5f5a24a51518ee3e34254c87,2.6061495,49.005486599691,Aéroports de Paris SA,Sodetrel,Paris Aéroports,FR*SOD*P*GADP*5*_*_*_,false,false,77294,2.6061495,49.005486599691,2,false,false,"type2,typee",Gratuit,24/7,node/7303929534,2020-03-16T23:00:00.000Z
5f5a24a51518ee3e34254c88,2.6062176,49.005480599691,Aéroports de Paris SA,Sodetrel,Paris Aéroports,FR*SOD*P*GADP*5*_*_*_,false,false,77294,2.6062176,49.005480599691,2,false,false,"type2,typee",Gratuit,24/7,node/7303929533,2020-03-16T23:00:00.000Z
5f5a24a51518ee3e34254c89,5.2467165,43.7196146005397,Aix-Marseille-Provence,Bouygues Énergies et Services,MAMP,FR*M13*P13024*001,false,false,13024,5.2467165,43.7196146005397,true,false,false,"type2,typee",Payant,24/7,node/7349923947,2020-03-31T22:00:00.000Z
5f5a24a51518ee3e34254c8a,5.246723,43.7195945005397,Aix-Marseille-Provence,Bouygues Énergies et Services,MAMP,FR*M13*P13024*001,false,false,13024,5.246723,43.7195945005397,true,false,false,"type2,typee",Payant,24/7,node/7349923948,2020-03-31T22:00:00.000Z
5f5a24a51518ee3e34254c8b,5.071785,43.5654142005415,Aix-Marseille-Provence,Bouygues Énergies et Services,MAMP,FR*M13*P13029*001,Rue Des Ferrages,false,13029,5.071785,43.5654142005415,2,false,false,"type2,typee",Payant,24/7,node/7176073621,2020-03-05T23:00:00.000Z
5f5a24a51518ee3e34254c8c,5.1774879,43.7284112005395,Aix-Marseille-Provence,Bouygues Énergies et Services,MAMP,FR*M13*P13053*001,false,false,13053,5.1774879,43.7284112005395,true,false,false,"type2,typee",Payant,24/7,node/7349663432,2020-03-31T22:00:00.000Z
5f5a24a51518ee3e34254c8d,5.1774968,43.7283910005395,Aix-Marseille-Provence,Bouygues Énergies et Services,MAMP,FR*M13*P13053*001,false,false,13053,5.1774968,43.7283910005395,true,false,false,"type3c,typee",Payant,24/7,node/7349663433,2020-03-31T22:00:00.000Z
5f5a24a51518ee3e34254c8e,5.4121976,43.2452584005409,Aix-Marseille-Provence,Bouygues Énergies et Services,MAMP,FR*M13*P13055*003,false,false,13055,5.4121976,43.2452584005409,2,false,false,typee,Payant,24/7,node/5911114903,2020-03-11T23:00:00.000Z
5f5a24a51518ee3e34254c8f,5.5272141,43.6373336005408,Aix-Marseille-Provence,Bouygues Énergies et Services,MAMP,FR*M13*P13059*001,false,false,13059,5.5272141,43.6373336005408,2,false,false,"type2,typee",Payant,24/7,node/6515266318,2020-03-11T23:00:00.000Z
5f5a24a51518ee3e34254c90,4.8824146,43.9824404005332,Auchan,false,false,false,false,false,84092,4.8824146,43.9824404005332,2,false,false,false,false,false,"node/7006839294, Charge rapide",2019-11-23T23:00:00.000Z
5f5a24a51518ee3e34254c91,-4.4001624,48.435592099832,Brest Métropole,Bouygues Énergies et Services,Alizé Liberté,FR*M29*P29075*002,false,false,29075,-4.4001624,48.435592099832,2,false,false,"type2,typee",Payant,24/7,node/6851317247,2020-03-20T23:00:00.000Z
5f5a24a51518ee3e34254c92,-4.60053,48.3799589998457,Brest Métropole,Bouygues Énergies et Services,Alizé Liberté,FR*M29*P29212*002,PLOUZANE - Rue Moquet,false,29212,-4.60053,48.3799589998457,2,false,false,"type2,typee",Payant,24/7,node/7265775759,2020-03-04T23:00:00.000Z
5f5a24a51518ee3e34254c93,6.952294,43.6325120005409,CAPG,Sodetrel,WiiiZ,FR*A16*P*WIIZ*12*_*_*_,FR*A16*P*WIIZ*12*_*_*_ - Grasse Stade de la Paoute,false,6069,6.952294,43.6325120005409,2,false,false,"type2,typee",Payant,24/7,node/6087059475,2020-02-29T23:00:00.000Z
5f5a24a51518ee3e34254c94,6.912976,43.6395400005408,CAPG,Sodetrel,WiiiZ,FR*A16*P*WIIZ*13*_*_*_,FR*A16*P*WIIZ*13*_*_*_ - Grasse Parking Place Frédéric Mistral,false,6069,6.912976,43.6395400005408,2,false,false,"type2,typee",Payant,24/7,node/6087059593,2020-02-29T23:00:00.000Z
5f5a24a51518ee3e34254c95,6.920752,43.6577520005406,CAPG,Sodetrel,WiiiZ,FR*A16*P*WIIZ*14*_*_*_,"FR*A16*P*WIIZ*14*_*_*_ - Grasse Parking Rue de l'ancien palais de justice",false,6069,6.920752,43.6577520005406,2,false,false,"type2,typee",Payant,24/7,node/6087059478,2020-02-29T23:00:00.000Z
